ID,FirstName,LastName,Email,PhoneNumber
0,Jill,Foster,jill@lmu.edu,626-485-9840
1,Jim,Dog,jim@lmu.edu,626-485-9841
2,Waluigi,Jones,waluigi@lmu.edu,626-485-9842
3,Chimp,Apeson,chimp@lmu.edu,626-485-9843
4,Ronald,McDoug,ronald@lmu.edu,626-485-9844
5,Childish,Flowers,childish@lmu.edu,626-485-9845
6,Joe,Shmoe,joe@lmu.edu,626-485-9846
7,Chandler,Bing,chandler@lmu.edu,626-485-9847
8,Monica,Geller,monica@lmu.edu,626-485-9848
9,Ross,Geller,ross@lmu.edu,626-485-9849
10,Rachel,Green,rachel@lmu.edu,626-485-9810
11,Phoebe,Buffay,phoebe@lmu.edu,626-485-9811
12,Joey,Trib,joey@lmu.edu,626-485-9812
13,Mike,Han,mike@lmu.edu,626-485-9813
14,James,Ford,james@lmu.edu,626-485-9814
15,William,Shakin,william@lmu.edu,626-485-9815
16,Jimmy,Falling,jimmy@lmu.edu,626-485-9816
17,Tall,York,tall@lmu.edu,626-485-9817
18,Angel,Above,angel@lmu.edu,626-485-9818
19,Timmy,Turner,timmy@lmu.edu,626-485-9819
20,Don,Flan,don@lmu.edu,626-485-9820
21,Billy,Jenkins,billy@lmu.edu,626-485-9821
